county_id,CHSI_State_Name,CHSI_County_Name,CHSI_State_Abbr,Strata_Determining_Factors,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,A_Wh_Comp,A_Bl_Comp,A_Wh_BirthDef,B_Wh_Injury,C_Wh_Injury,C_Bl_Injury,C_Bl_Homicide,C_Wh_Suicide,D_Wh_Injury,D_Bl_Injury,D_Hi_Injury,D_Wh_Cancer,D_Bl_Cancer,D_Wh_HeartDis,D_Bl_HeartDis,D_Wh_Suicide,D_Bl_HIV,D_Bl_Homicide,E_Wh_Cancer,E_Bl_Cancer,E_Ot_Cancer,E_Hi_Cancer,E_Wh_HeartDis,E_Bl_HeartDis,E_Ot_HeartDis,E_Hi_HeartDis,F_Wh_HeartDis,F_Bl_HeartDis,F_Ot_HeartDis,F_Hi_HeartDis,F_Wh_Cancer,F_Bl_Cancer,F_Ot_Cancer,F_Hi_Cancer,LCD_Time_Span,All_Death,Health_Status,LBW,LBW_Ind,VLBW,VLBW_Ind,Premature,Premature_Ind,Under_18,Under_18_Ind,Over_40,Over_40_Ind,Unmarried,Unmarried_Ind,Late_Care,Late_Care_Ind,Infant_Mortality,Infant_Mortality_Ind,IM_Wh_Non_Hisp,IM_Wh_Non_Hisp_Ind,IM_Bl_Non_Hisp,IM_Bl_Non_Hisp_Ind,IM_Hisp,IM_Hisp_Ind,IM_Neonatal,IM_Neonatal_Ind,IM_Postneonatal,IM_Postneonatal_Ind,Brst_Cancer,Brst_Cancer_Ind,Col_Cancer,Col_Cancer_Ind,CHD,CHD_Ind,Homicide,Homicide_Ind,Lung_Cancer,Lung_Cancer_Ind,MVA,MVA_Ind,Stroke,Stroke_Ind,Suicide,Suicide_Ind,Injury,Injury_Ind,Total_Births,Total_Deaths,MOBD_Time_Span,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,FluB_Rpt,FluB_Ind,HepA_Rpt,HepA_Ind,HepB_Rpt,HepB_Ind,Meas_Rpt,Meas_Ind,Pert_Rpt,Pert_Ind,CRS_Rpt,CRS_Ind,Syphilis_Rpt,Syphilis_Ind,ID_Time_Span,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Shig_Rpt,Shig_Rpt_Ind,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span,Predicted_Health_Status
1001,Alabama,Autauga,AL,"frontier status, population size, poverty, age",48612,82.0,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,24.0,24.0,NA,NA,18.0,22.0,12.0,14.0,NA,NA,36.0,23.0,NA,NA,23.0,30.0,NA,NA,32.0,38.0,NA,NA,20.0,19.0,NA,NA,1999-2003,1041.5,21.8,8.1,-1.0,1.6,-1.0,14.3,-1.0,5.1,-1.0,1.4,1.0,28.0,1.0,12.9,1.0,5.9,1.0,4.2,1.0,13.0,-1.0,NA,NA,3.0,1.0,3.0,-1.0,34.1,-1.0,15.9,1.0,172.4,1.0,6.7,-1.0,65.3,-1.0,27.3,-1.0,73.9,-1.0,16.6,-1.0,23.0,-1.0,1.254011355220933,0.7681230971776516,1999-2003,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,27.8,78.6,24.5,29.1,26.6,14.2,11.704928824158644,9.795935160042788,2.487040236978524,45.3,22.6,1,-1,0.0,1.0,0.00041142104830083103,1.0,0.0008228420966016621,1.0,0.0,1.0,0.0012342631449024932,1.0,0.0,1.0,0.0032913683864066482,-1.0,1999-2003,NA,NA,NA,NA,NA,6690.0,1.5921994569242162,3.5526207520776762,5.513042047231137,4.924709948160948,0.0008228420966016621,1.0,0.020571052415041556,-1.0,0.0016456841932033241,1.0,4863.452522011025,1,1,1,1,1,1,1999-2003,20.356247522182798
1003,Alabama,Baldwin,AL,"frontier status, population size, poverty, age",162586,102.0,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,57.0,NA,21.0,NA,63.0,NA,NA,NA,30.0,13.0,NA,11.0,NA,16.0,18.0,13.0,NA,21.0,37.0,28.0,NA,NA,22.0,33.0,NA,NA,30.0,32.0,NA,NA,23.0,20.0,NA,NA,2001-2003,856.9,15.4,8.6,-1.0,1.9,-1.0,15.3,-1.0,4.3,-1.0,1.9,1.0,25.4,1.0,15.3,1.0,7.1,1.0,5.7,1.0,13.5,1.0,NA,NA,5.7,-1.0,1.5,1.0,22.5,1.0,15.3,1.0,156.5,1.0,5.4,-1.0,62.1,-1.0,25.1,-1.0,48.7,1.0,14.3,-1.0,30.1,-1.0,1.1216627917942914,0.8996264541022393,2001-2003,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,NA,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,27.2,76.2,23.6,30.5,24.6,7.2,12.1769402039536,13.921862891023828,2.3612119124647877,67.0,30.8,1,-1,0.0,1.0,0.0004100394047868,1.0,0.0034853349406878,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2001-2003,86.1,82.0,44.1,58.7,61.8,20254.0,1.5579447184874466,3.0340865757199267,5.753262888563591,4.768553257968091,0.0004100394047868,1.0,0.020296950536946603,-1.0,0.0084058077981294,-1.0,22.374177358444147,1,1,1,-1,1,1,2001-2003,17.378565676296738
1005,Alabama,Barbour,AL,"frontier status, population size, poverty, age, population density",28414,32.0,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,NA,NA,NA,NA,NA,NA,NA,NA,18.0,19.0,NA,21.0,NA,11.0,25.0,18.0,NA,NA,31.0,26.0,NA,NA,29.0,35.0,NA,NA,33.0,29.0,NA,NA,20.0,26.0,NA,NA,1999-2003,1019.4,21.4,11.0,-1.0,1.9,-1.0,16.7,-1.0,7.7,-1.0,1.1,1.0,50.2,-1.0,26.0,-1.0,7.1,1.0,5.5,1.0,9.4,-1.0,NA,NA,5.4,-1.0,1.6,1.0,30.5,-1.0,23.4,-1.0,95.3,1.0,11.8,-1.0,70.6,-1.0,26.2,1.0,84.5,-1.0,10.3,1.0,29.6,-1.0,1.2916168086154713,1.0825649327796156,1999-2003,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,NA,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,NA,NA,25.6,NA,17.7,6.6,18.040402618427535,11.571760399802914,3.8431758992046174,45.8,24.6,1,-1,0.0,1.0,0.0014077567396353912,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.004223270218906173,-1.0,1999-2003,NA,NA,NA,NA,NA,6729.0,2.0025339621313436,4.582248187513198,5.694376011825157,4.937706764271134,0.0,1.0,0.03730555360033786,-1.0,0.0007038783698176956,1.0,56.168367706060394,1,1,1,1,1,1,1999-2003,19.69172327598419
1007,Alabama,Bibb,AL,"frontier status, population size, poverty, age",21516,35.0,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,NA,NA,NA,NA,63.0,NA,NA,13.0,29.0,24.0,NA,16.0,21.0,13.0,18.0,12.0,NA,NA,33.0,29.0,NA,NA,23.0,29.0,NA,NA,31.0,26.0,NA,NA,18.0,20.0,NA,NA,1994-2003,1050.5,19.4,8.7,-1.0,1.7,-1.0,13.7,-1.0,6.5,-1.0,0.9,1.0,30.2,1.0,16.3,1.0,9.8,-1.0,9.2,-1.0,12.2,-1.0,NA,NA,7.1,-1.0,2.7,-1.0,30.1,-1.0,17.4,1.0,184.7,1.0,8.0,-1.0,64.6,-1.0,35.4,-1.0,144.6,-1.0,14.8,-1.0,30.0,-1.0,1.3018218999814093,0.9351180516824689,1994-2003,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,NA,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,NA,86.6,NA,NA,NA,13.1,15.407138873396542,11.108012641754973,4.526863729317717,41.8,18.6,1,1,0.0,1.0,0.0009295408068414202,1.0,0.0018590816136828405,1.0,0.0,1.0,0.0013943112102621305,-1.0,0.0,1.0,0.0009295408068414202,-1.0,1994-2003,NA,NA,NA,NA,NA,5355.0,1.6638780442461425,4.182933630786391,5.66090351366425,4.805725971370143,0.0009295408068414202,-1.0,0.004182933630786392,1.0,0.0013943112102621305,1.0,11.87813720022309,1,1,1,1,1,1,1994-2003,24.610208925693133
1009,Alabama,Blount,AL,"frontier status, population size, poverty, age",55725,86.0,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,34.0,NA,34.0,NA,64.0,NA,NA,NA,22.0,NA,NA,16.0,NA,18.0,NA,13.0,NA,NA,37.0,NA,NA,NA,23.0,NA,NA,NA,34.0,36.0,NA,NA,20.0,28.0,NA,NA,1999-2003,954.2,25.8,7.6,-1.0,1.5,-1.0,12.8,-1.0,5.0,-1.0,1.3,1.0,19.3,1.0,16.7,-1.0,9.0,-1.0,7.5,-1.0,NA,NA,10.9,-1.0,5.4,-1.0,3.6,-1.0,30.2,-1.0,16.8,1.0,148.2,1.0,5.3,-1.0,71.7,-1.0,27.4,-1.0,47.3,1.0,14.4,-1.0,24.4,-1.0,1.1908479138627188,0.8803947958725885,1999-2003,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,NA,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,33.5,74.6,24.2,NA,23.6,8.4,14.591296545536116,9.006729475100942,2.332884701659937,16.2,10.8,-1,1,0.0007178106774338268,-1.0,0.0010767160161507402,1.0,0.0010767160161507402,1.0,0.0,1.0,0.0010767160161507402,1.0,0.0,1.0,0.0,1.0,1999-2003,87.2,NA,NA,NA,NA,11181.0,1.4697173620457604,3.9784656796769853,5.67788245850157,4.800358905338717,0.0003589053387169134,1.0,0.008972633467922837,1.0,0.003947958725886048,-1.0,1372.0183041722746,1,1,1,1,1,1,1999-2003,21.21325309610399
1011,Alabama,Bullock,AL,"frontier status, population size, poverty, age, population density",11055,18.0,26.2,24.7,63.2,10.0,2.2,27.8,71.4,0.4,0.2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,40.0,22.0,NA,10.0,NA,15.0,20.0,NA,NA,NA,25.0,26.0,NA,NA,31.0,33.0,NA,NA,39.0,33.0,NA,NA,16.0,20.0,NA,NA,1994-2003,1107.6,NA,13.7,-1.0,2.8,-1.0,22.6,-1.0,10.8,-1.0,1.2,-1.0,66.6,-1.0,34.4,-1.0,13.3,-1.0,NA,NA,13.3,-1.0,NA,NA,7.0,-1.0,6.3,-1.0,30.4,-1.0,23.0,-1.0,221.4,-1.0,10.7,-1.0,49.9,1.0,52.2,-1.0,67.8,-1.0,NA,NA,34.2,-1.0,1.450927182270466,1.249208502939846,1994-2003,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,NA,1.0,NA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,NA,1.0,NA,NA,NA,NA,NA,NA,20.759837177747624,12.962460425146991,4.559023066485753,54.3,18.1,1,1,0.0,1.0,0.0009045680687471732,1.0,0.0009045680687471732,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.003618272274988693,-1.0,1994-2003,NA,NA,NA,NA,NA,2848.0,2.9579375848032563,4.052464947987336,5.662596110357304,5.110809588421529,0.0,1.0,0.015377657168701944,1.0,0.006331976481230213,-1.0,NA,1,1,1,1,1,1,1994-2003,21.089182347972773
1013,Alabama,Butler,AL,"frontier status, population size, poverty, age, population density",20766,27.0,20.0,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,NA,NA,NA,NA,67.0,20.0,13.0,13.0,33.0,22.0,NA,12.0,10.0,18.0,18.0,NA,NA,16.0,35.0,18.0,NA,NA,30.0,34.0,NA,NA,42.0,45.0,NA,NA,17.0,19.0,NA,NA,1994-2003,1084.2,21.6,9.8,1.0,1.8,1.0,15.7,-1.0,9.0,1.0,1.2,-1.0,50.2,-1.0,20.3,1.0,5.8,1.0,3.3,1.0,7.2,1.0,NA,NA,3.1,1.0,2.7,1.0,20.5,1.0,17.8,1.0,229.0,-1.0,17.3,-1.0,52.5,1.0,37.7,-1.0,84.5,-1.0,11.9,1.0,30.5,-1.0,1.3839930655879802,1.3758066069536743,1994-2003,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,NA,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,24.5,NA,22.0,NA,27.3,9.5,19.527111624771262,15.169026292978907,4.584416835211403,43.3,19.3,1,-1,0.0,1.0,0.0,1.0,0.002407781951266493,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0033708947317730906,1.0,1994-2003,NA,NA,NA,NA,NA,4363.0,2.5859578156602137,4.699990368872195,5.605316382548397,4.9552152557064435,0.0,1.0,0.011075796975825869,1.0,0.002407781951266493,1.0,127.59664836752384,1,1,1,1,1,1,1994-2003,22.555496368653586
1015,Alabama,Calhoun,AL,"frontier status, population size, poverty",112141,184.0,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2.0,36.0,NA,14.0,NA,57.0,NA,NA,11.0,33.0,13.0,NA,NA,11.0,15.0,24.0,NA,NA,24.0,28.0,23.0,NA,NA,28.0,37.0,NA,NA,34.0,30.0,NA,NA,19.0,20.0,NA,NA,2001-2003,1100.3,26.7,9.0,-1.0,1.9,-1.0,14.1,-1.0,4.8,-1.0,0.8,1.0,26.3,1.0,12.1,1.0,9.5,-1.0,7.2,1.0,17.3,-1.0,NA,NA,6.1,-1.0,3.4,-1.0,26.4,-1.0,18.4,1.0,189.3,1.0,8.6,-1.0,73.5,-1.0,25.5,-1.0,79.2,-1.0,13.6,1.0,27.4,-1.0,1.3164973857316533,1.163713539205108,2001-2003,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,NA,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,29.2,81.9,27.0,33.2,25.5,11.2,14.67438314265077,14.660115390445956,4.7270846523573,75.8,41.9,1,-1,0.00029724483760028297,1.0,0.0005944896752005659,1.0,0.002080713863201981,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.002080713863201981,-1.0,2001-2003,82.7,76.5,46.2,57.3,56.2,19546.0,1.9457647069314523,5.102504882246458,5.707100881925433,4.944667873480707,0.0,1.0,0.009214589965608772,1.0,0.009809079640809338,-1.0,1326.6143872446296,1,1,1,1,1,1,2001-2003,24.720669792770895
1017,Alabama,Chambers,AL,"frontier status, population size, poverty, age, population density",35460,59.0,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,25.0,22.0,NA,12.0,17.0,18.0,22.0,15.0,NA,12.0,30.0,29.0,NA,NA,30.0,34.0,NA,NA,31.0,33.0,NA,NA,18.0,19.0,NA,NA,1999-2003,1075.6,32.3,9.3,-1.0,2.0,-1.0,15.2,-1.0,7.3,-1.0,0.9,1.0,49.4,-1.0,17.6,-1.0,7.5,1.0,5.5,1.0,10.2,1.0,NA,NA,5.3,1.0,2.2,1.0,25.3,-1.0,13.8,1.0,110.8,1.0,8.2,-1.0,63.1,1.0,27.9,-1.0,97.6,-1.0,12.8,1.0,26.8,-1.0,1.2808798646362098,1.3671742808798646,1999-2003,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,NA,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,34.7,84.6,NA,NA,11.7,17.1,15.603496897913141,15.434292160180485,4.22165820642978,53.6,22.6,1,-1,0.0,1.0,0.0011280315848843767,1.0,0.0,1.0,0.0005640157924421883,-1.0,0.0,1.0,0.0,1.0,0.0005640157924421883,-1.0,1999-2003,87.9,NA,NA,NA,NA,8718.0,2.3942470389170896,4.145516074450085,5.654258319232938,4.644670050761421,0.0,1.0,0.018048505358150026,-1.0,0.0005640157924421883,1.0,460.2798646362098,1,1,1,1,1,1,1999-2003,23.77886005949474
1019,Alabama,Cherokee,AL,"frontier status, population size, poverty, age, population density",24522,44.0,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,NA,NA,NA,NA,68.0,NA,NA,12.0,31.0,NA,NA,12.0,NA,26.0,NA,11.0,NA,NA,35.0,29.0,NA,NA,32.0,33.0,NA,NA,34.0,31.0,NA,NA,21.0,20.0,NA,NA,1994-2003,999.3,NA,8.4,-1.0,1.2,-1.0,12.2,-1.0,7.6,-1.0,0.9,1.0,26.1,1.0,14.1,1.0,7.4,-1.0,6.3,1.0,NA,NA,NA,NA,3.7,1.0,3.7,-1.0,11.0,1.0,15.3,1.0,160.4,1.0,NA,NA,54.1,1.0,32.7,-1.0,59.0,1.0,17.7,-1.0,27.0,-1.0,1.0843324361797568,1.0639425821711117,1994-2003,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,NA,NA,1.0,-1.0,1.0,1.0,1.0,NA,-1.0,-1.0,-1.0,-1.0,1.0,NA,NA,NA,NA,23.6,13.3,14.611369382595221,12.584617894135878,3.482587064676617,28.5,12.2,-1,1,0.0004077970801729059,1.0,0.0,1.0,0.0008155941603458118,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0004077970801729059,1.0,1994-2003,NA,NA,NA,NA,NA,6398.0,1.8921784520022837,4.705978305195335,5.855966071282929,4.648886713971128,0.0004077970801729059,1.0,0.002446782481037436,1.0,0.002446782481037436,-1.0,12.698311720088084,1,1,1,1,1,1,1994-2003,24.145425678682344
